Gene,log2FC,pvalue,FDR
Asip,3.021340382,7.71E-07,1.49E-06
A2m,-1.404734493,0.012713388,0.018273873
Acaa1a,-1.14859701,5.31E-34,2.36E-33
Acadm,-0.745489173,9.66E-11,2.22E-10
Acly,-1.067092277,3.81E-33,1.66E-32
Acp1,1.678819701,9.07E-123,1.70E-121
Acp2,-0.522090969,4.16E-10,9.30E-10
Acr,-2.766656664,4.71E-22,1.55E-21
Adcyap1r1,-2.885646797,3.55E-129,7.16E-128
Add1,0.780334968,3.22E-39,1.61E-38
Add2,9.810392271,0,0
Adh1,-1.405788543,0.002091898,0.003232358
Adra1b,-2.031961861,1.12E-06,2.15E-06
Adra2b,-3.875332876,4.95E-32,2.10E-31
Adra2c,-4.091561476,1.71E-22,5.69E-22
Adrb2,0.299827427,0.000696645,0.001119171
Afp,-3.18153034,1.68E-22,5.59E-22
Agt,-4.883839954,1.17E-110,1.89E-109
Agtr1a,-4.528562345,2.25E-59,1.68E-58
Agtr2,-3.60348234,3.55E-06,6.62E-06
Ak2,-0.718694348,1.11E-20,3.51E-20
Akt1,0.3405996,2.66E-21,8.56E-21
Alb,-1.65922153,0.000633137,0.00102039
Aldoc,1.25152255,8.59E-07,1.66E-06
Akr1b1,-1.875425214,2.27E-65,1.89E-64
Apc,-0.641157457,6.40E-15,1.71E-14
Apeh,1.400934596,1.10E-91,1.37E-90
Ar,-3.397426345,3.04E-75,2.99E-74
Atp1a1,0.191297373,0.029643868,0.041007397
Atp1a2,-2.362046497,1.79E-14,4.73E-14
Atp1a3,1.030026297,0.00022983,0.00038209
Atp1b2,2.341872787,3.19E-45,1.82E-44
Atp2b2,-2.745667684,1.86E-14,4.90E-14
Atp4a,0.678976823,0.049942309,0.067278051
Atp7b,2.22470119,1.48E-87,1.72E-86
Avp,-2.099516758,1.93E-08,4.03E-08
B2m,-0.4543342,5.28E-10,1.18E-09
Bcl2,-1.085160272,2.88E-18,8.57E-18
Bdnf,2.53978546,3.35E-10,7.52E-10
Tspo,-0.671906019,8.75E-11,2.01E-10
C2,-1.764290096,1.48E-48,9.04E-48
C3,1.172209978,0.000711146,0.00114191
C4a,-4.06043966,4.62E-73,4.37E-72
C6,-2.388122814,3.63E-68,3.15E-67
Cacna1c,-3.435881528,1.39E-41,7.33E-41
Cad,-0.705286453,2.95E-30,1.19E-29
Calca,-4.564190229,1.44E-31,6.02E-31
Calm1,-0.41568511,3.06E-09,6.61E-09
Camk2b,-0.635844209,0.035727154,0.048989669
Camk2d,-0.361847242,2.71E-05,4.81E-05
Casr,4.728172959,1.96E-20,6.17E-20
Cat,-0.537036751,2.22E-06,4.18E-06
S100g,-2.566500696,0.000329322,0.00054153
Cbs,-1.378436696,0.000363921,0.000596632
Cd53,1.989504284,1.06E-36,5.00E-36
Cebpa,-2.41369707,1.33E-163,3.79E-162
Cebpb,-0.701489721,3.26E-11,7.63E-11
Cel,-0.991416693,2.65E-06,4.97E-06
Cftr,-2.55558909,2.04E-05,3.64E-05
Chga,3.499805151,0.000896527,0.001428494
Chgb,2.062677752,0.000692408,0.001112667
Ckm,4.093995887,1.25E-07,2.51E-07
Comt,0.655852543,1.22E-17,3.56E-17
Cpa1,-4.282308584,3.31E-27,1.25E-26
Crygd,3.922816309,2.26E-32,9.65E-32
Csn1s1,2.741506555,0.000185011,0.000309824
Cyp1a1,-2.423531976,1.92E-09,4.18E-09
Cyp21a1,-3.769999752,2.01E-60,1.54E-59
Cyp2b1,-5.95908577,1.56E-43,8.59E-43
Cyp4b1,-2.523445643,1.73E-70,1.57E-69
Dbp,-1.265588617,2.86E-15,7.77E-15
Ace,-2.449219559,3.96E-19,1.21E-18
Ddc,3.06735821,6.92E-27,2.58E-26
Dhfr,2.492728646,1.64E-59,1.23E-58
Nqo1,-0.655951067,6.89E-11,1.59E-10
Drd1,-0.92494643,0.015021096,0.021462647
Edn1,-2.323770797,1.42E-21,4.59E-21
Ednra,-4.38002989,1.07E-207,4.68E-206
Egfr,-1.517424838,2.02E-15,5.49E-15
Egr1,-0.33202648,0.020040062,0.0282626
Cela1,2.22816049,1.77E-40,9.10E-40
Cela2a,-0.43358828,0.00128076,0.002014676
Eno1,0.282532922,0.000288818,0.000476675
Eno2,-1.850847866,4.51E-15,1.21E-14
Epo,-1.620528606,0.002940769,0.004491467
Epor,4.082545459,4.40E-274,3.14E-272
Erbb2,-2.784542294,2.58E-68,2.25E-67
Ephb1,-1.757962487,7.41E-06,1.36E-05
Ets1,0.344787353,1.63E-05,2.93E-05
Fancc,0.825516423,1.87E-33,8.19E-33
Fgg,-1.042790596,0.035212153,0.04832605
Fh,-0.408061998,4.87E-08,9.97E-08
Fst,-2.524135388,2.04E-85,2.31E-84
Fuca1,-0.195633128,0.019770482,0.027905054
G6pd,0.417822078,5.68E-05,9.86E-05
Gad1,1.810734489,0.001079703,0.001708399
Ganc,-0.717844081,2.66E-16,7.45E-16
Gapdh,1.324492688,3.65E-10,8.18E-10
Gfap,6.111584741,3.42E-64,2.79E-63
Gfi1,3.795560198,1.35E-110,2.17E-109
B4galt1,-0.276010195,0.0004694,0.000763469
Gja1,-0.719041876,1.07E-06,2.06E-06
Gls,-0.379249869,1.42E-07,2.85E-07
Glud1,-1.383770305,2.87E-59,2.14E-58
Gnb1,-0.584412976,6.09E-26,2.22E-25
Got1,0.801195189,8.98E-08,1.82E-07
Gpx1,3.029834022,2.07E-215,9.52E-214
Grik4,-0.772718531,8.08E-05,0.00013874
Grik5,-1.610630063,7.27E-17,2.07E-16
Grin1,2.867688503,1.68E-06,3.19E-06
Grin2b,1.684527292,0.006648084,0.009815686
Grin2d,-2.071250136,3.57E-45,2.03E-44
Nr3c1,-1.218876663,4.97E-107,7.67E-106
Grm4,3.702230256,1.22E-05,2.21E-05
Grm5,4.107659956,3.10E-19,9.46E-19
Gsta1,-1.744414797,9.34E-13,2.31E-12
Gstm1,-0.535077263,0.000209044,0.000348651
Gstm2,-2.047121261,1.25E-19,3.86E-19
Gstp1,-0.962866281,2.11E-29,8.36E-29
Gusb,1.456712435,3.98E-105,6.00E-104
H1f0,0.753756216,2.19E-27,8.27E-27
Hagh,3.181117938,1.61E-240,9.14E-239
Hbb,6.912271922,2.37E-261,1.56E-259
Hdc,3.603427885,1.09E-114,1.84E-113
Hgf,-0.655395288,2.46E-09,5.32E-09
Hrh1,-3.088018803,3.94E-25,1.40E-24
Hmgcs2,-3.718604112,9.69E-30,3.87E-29
Hmox1,4.029284761,2.05E-152,5.22E-151
Hoxc4,-3.125963431,2.24E-105,3.40E-104
Hoxc8,-7.751571501,2.50E-158,6.82E-157
Hp,3.363919372,1.24E-16,3.53E-16
Hprt1,1.019670806,9.91E-60,7.45E-59
Hspa8,0.198366753,0.000277973,0.00045939
Hspb1,-2.937010266,5.67E-26,2.07E-25
Hspa1b,-3.819229137,7.28E-44,4.03E-43
Ibsp,8.18223083,0,0
Idh1,-2.499864447,3.35E-126,6.51E-125
Igf1,-3.390445391,6.67E-181,2.26E-179
Igf2,-0.621387621,0.023651485,0.033100219
Igfbp3,-4.621206037,1.30E-110,2.09E-109
Il1a,4.272976487,1.61E-30,6.55E-30
Il1b,3.670943344,1.49E-179,4.96E-178
Il9r,1.12331928,1.75E-10,3.99E-10
Ina,2.420818646,0.01955742,0.027614868
Inha,0.520419995,0.00039499,0.000645922
Irf1,-0.253965337,0.000277665,0.000458958
Itgb1,-1.046702854,1.81E-118,3.21E-117
Ivd,-2.224581931,1.04E-104,1.57E-103
Jak2,0.924926665,8.07E-47,4.76E-46
Jun,-1.789356491,5.58E-23,1.88E-22
Jund,0.262312935,0.00010141,0.000172957
Kcnj1,4.271742178,5.87E-19,1.78E-18
Zfp354a,-1.316336949,4.87E-33,2.12E-32
Kras,0.603078046,5.76E-14,1.49E-13
Lalba,1.517682853,0.010950313,0.015830437
Ldha,0.391809808,0.006293217,0.009315448
Ldhb,-3.214311211,2.28E-95,2.98E-94
Lepr,2.20795953,1.43E-60,1.09E-59
Lpl,-5.761776814,0,0
Slco2a1,-1.77101613,1.10E-10,2.53E-10
Mbp,-0.479928411,0.000242357,0.000402305
Mdh1,-2.086891909,6.61E-88,7.74E-87
Me1,-1.008258132,3.24E-09,7.00E-09
Met,-2.035128176,3.97E-79,4.14E-78
Mos,-1.121478242,0.016523384,0.023511509
Cd200,-1.64169031,3.88E-48,2.35E-47
Mpg,0.933537638,2.18E-33,9.56E-33
Mpz,-1.844268949,5.49E-05,9.53E-05
Abcc1,-1.24569941,4.75E-32,2.01E-31
Mst1,-3.583698975,3.70E-89,4.41E-88
Mt1,2.819683235,1.55E-32,6.67E-32
Muc1,0.702332502,0.012039979,0.017347233
Muc2,-3.252279074,2.56E-69,2.27E-68
Mx1,0.366476103,0.012253798,0.017642416
Myc,0.672932988,5.51E-14,1.43E-13
Myh11,-5.536583365,2.83E-69,2.52E-68
Myh3,4.344194401,1.00E-10,2.30E-10
Mylpf,4.223060496,3.27E-15,8.86E-15
Myl3,3.98260833,1.21E-12,2.99E-12
Ncam1,0.2846514,0.043207056,0.058621304
Nefh,-0.285452356,0.025624863,0.035730119
Mme,-3.950742419,3.15E-163,8.96E-162
Neu1,1.403229018,1.15E-44,6.47E-44
Nf1,-1.095053914,3.24E-82,3.53E-81
Klk1b3,-1.478561926,0.005920069,0.008789046
Ngfr,-2.818854364,9.98E-43,5.38E-42
Nos1,3.369822603,2.12E-16,5.95E-16
Nos2,2.15953546,3.31E-20,1.03E-19
Nos3,-2.937120521,1.60E-62,1.27E-61
Npr1,-1.749161229,1.75E-95,2.29E-94
Npy,4.503349699,1.05E-224,5.29E-223
Nras,0.272458228,1.30E-11,3.10E-11
Odc1,1.583660979,2.18E-102,3.16E-101
Odf1,-1.963574136,0.002782004,0.004258216
Gnal,0.611434918,0.026207105,0.036492093
Omp,1.052768544,0.020903184,0.029411196
Oprd1,-3.694378241,1.98E-19,6.08E-19
Orm1,2.951546663,6.87E-12,1.65E-11
S100a4,1.597270465,8.48E-43,4.58E-42
Serpine1,-2.115997598,1.99E-09,4.33E-09
Pccb,-2.597959805,5.25E-147,1.28E-145
Pde4b,-0.590951605,8.60E-06,1.57E-05
Pde4d,1.980343503,9.17E-80,9.62E-79
Pdgfb,-1.592316838,2.12E-50,1.34E-49
Pdgfrb,-2.117817321,6.81E-94,8.74E-93
Rhox5,2.350540441,5.85E-10,1.30E-09
Pfkfb1,-2.594283522,7.60E-54,5.11E-53
Pfkfb2,0.773101084,3.91E-29,1.54E-28
Pgam1,-0.991805581,3.13E-29,1.24E-28
Pgk1,0.575468665,1.96E-06,3.71E-06
Abcb1b,-5.174664373,3.14E-49,1.94E-48
Pim1,3.285218784,3.31E-184,1.17E-182
Pkd1,-0.871830551,2.47E-38,1.21E-37
Pklr,5.727465599,2.66E-34,1.19E-33
Pla2g4a,0.484139197,0.000360866,0.000591788
Plcb1,-2.387248658,8.78E-60,6.61E-59
Plcd1,-2.095230983,1.08E-54,7.35E-54
Pmp22,-2.920373643,5.26E-86,6.02E-85
Pnmt,0.781736012,0.009170203,0.013356865
Pomc,-2.262034192,2.54E-29,1.01E-28
Ppm1a,0.231447579,2.23E-05,3.97E-05
Ppm1b,0.361658585,3.29E-13,8.29E-13
Ppp1ca,0.480298287,1.42E-27,5.39E-27
Ppp1cc,1.274935754,4.86E-187,1.77E-185
Ppp2ca,0.275088848,2.27E-14,5.98E-14
Ppp2cb,-1.393674561,7.83E-74,7.51E-73
Ppp3ca,0.203549645,0.024004327,0.033568613
Ppy,-3.342879435,3.68E-16,1.03E-15
Pkib,3.497197699,5.89E-83,6.47E-82
Prkar2b,-1.886222528,1.47E-92,1.85E-91
Prkca,1.009957371,1.10E-32,4.74E-32
Prkcg,1.166783748,7.33E-11,1.69E-10
Prlr,-1.904816907,2.24E-10,5.07E-10
Prnp,-1.224145336,1.08E-18,3.26E-18
Prph,-3.132739876,6.42E-34,2.84E-33
Prps2,-3.103682908,3.33E-257,2.14E-255
Ptgs1,1.436600916,2.44E-40,1.25E-39
Pth,4.620233252,9.49E-14,2.44E-13
Pthlh,-1.716903418,5.32E-06,9.84E-06
Ptpn1,0.758543104,2.38E-29,9.43E-29
Ptprc,1.685435807,2.14E-27,8.07E-27
Pygm,2.874833845,4.79E-08,9.81E-08
Rara,-0.196134254,0.000759327,0.001216633
Rarb,-1.471721658,1.76E-16,4.94E-16
Rb1,1.360320052,5.31E-95,6.91E-94
Rbp2,-1.01574554,0.018098438,0.025648945
Ret,1.087107587,1.18E-16,3.35E-16
Rho,-3.060945097,9.24E-37,4.37E-36
Reln,2.567168588,1.17E-21,3.80E-21
Rn45s,1.544510615,2.54E-32,1.08E-31
RT1-M3-1,-0.583176115,3.77E-16,1.05E-15
RT1-O1,-2.20453816,3.58E-06,6.69E-06
Scn2a,-1.723917172,2.53E-09,5.49E-09
Scnn1b,-3.884855215,3.48E-25,1.24E-24
Scnn1g,-1.637743637,1.97E-05,3.52E-05
Ccl2,-1.797461297,6.41E-22,2.10E-21
Cxcl12,1.887480897,7.23E-78,7.42E-77
Shbg,-0.676455995,3.62E-07,7.13E-07
Slc2a1,-1.136263603,2.42E-27,9.12E-27
Slc4a1,11.92913831,0,0
Slc4a2,-0.51916733,1.69E-11,4.00E-11
Slc4a3,-2.520581635,7.62E-24,2.62E-23
Slc9a1,-0.890180358,2.01E-30,8.17E-30
Slc9a2,2.226113307,0.000680403,0.001094088
Slc9a3,-1.441180526,0.009548865,0.013887211
Sod1,0.208054377,0.000406716,0.000664547
Sod2,0.156393656,0.005351937,0.007973196
Sord,0.522609605,7.67E-07,1.48E-06
Sp1,0.433763925,5.49E-17,1.57E-16
Sparc,-3.853818194,1.24E-139,2.81E-138
Serpina3n,-4.90386009,8.23E-33,3.55E-32
Spn,3.331598732,2.49E-214,1.13E-212
Sst,3.723742329,0.019754106,0.02788327
Eef1a2,2.49938975,1.60E-05,2.87E-05
Sts,-2.330942044,5.07E-139,1.14E-137
Vamp2,-1.426057604,2.63E-153,6.79E-152
Syp,0.975066677,0.000564272,0.00091211
Tacr1,-1.997629899,9.54E-11,2.19E-10
Tacr3,-4.966943631,2.66E-40,1.36E-39
Tap1,1.034921051,9.33E-39,4.61E-38
Tap2,0.574598837,5.20E-18,1.54E-17
Tbxa2r,2.906841937,3.56E-164,1.02E-162
Hnf1a,1.168038289,0.001675437,0.002611767
Tcp1,0.520215099,1.51E-40,7.74E-40
Tmbim6,-1.169748574,7.50E-75,7.33E-74
Tf,2.374726775,1.69E-24,5.91E-24
Tg,0.72925262,0.000117297,0.000199066
Tgfa,-1.102449689,9.57E-09,2.02E-08
H2ac1,1.812899786,6.21E-05,0.000107542
Thrb,-3.088840101,2.93E-82,3.20E-81
Thy1,1.885438922,4.92E-36,2.29E-35
Tk1,5.713010089,1.30E-139,2.94E-138
Tnnt2,-2.475031364,0.000215698,0.000359344
Tnnt3,3.391820568,1.25E-12,3.09E-12
Tp53,0.826042125,7.79E-59,5.76E-58
Tpi1,-0.644252786,4.18E-05,7.31E-05
Tpm1,1.47397378,1.92E-05,3.44E-05
Tpm4,0.610046345,6.08E-12,1.46E-11
Clu,-1.909178657,1.94E-53,1.29E-52
Tsc2,-0.693889149,1.34E-20,4.24E-20
Ugt1a1,-1.999714595,0.000264955,0.000438587
Vhl,-0.574838015,7.54E-44,4.17E-43
Vipr1,-0.368068695,0.023932912,0.033473491
Vsnl1,-0.824130358,0.004995908,0.007467233
Wnt1,-3.297583987,4.61E-10,1.03E-09
Wt1,-7.056541191,2.88E-32,1.23E-31
Yes1,-2.182118808,2.73E-62,2.16E-61
Tbxas1,0.74967544,2.25E-08,4.69E-08
Bax,0.825418239,6.25E-44,3.46E-43
Bcl2l1,2.575871543,4.45E-120,8.09E-119
Esr1,-4.572926807,2.02E-145,4.85E-144
Abcb4,4.639416396,8.87E-219,4.24E-217
Cyp2a1,2.156110335,0.011915664,0.017175648
Gnas,-0.357455497,2.99E-07,5.89E-07
Sult2a6,2.813569732,0.008162262,0.011949936
Kng2,3.065037461,3.57E-13,8.99E-13
LOC24906,7.22229445,0,0
Sult2a1,2.786910894,0.007116416,0.010480489
Plaat3,-3.659412415,7.61E-129,1.52E-127
Lox,-3.692653129,1.66E-63,1.35E-62
Pdlim4,-1.401785553,1.50E-13,3.83E-13
Rnf112,-1.001704383,0.000537279,0.000869855
Kpnb1,0.252485899,2.06E-07,4.10E-07
Stat5a,0.549096825,1.39E-26,5.13E-26
Yy1,0.409154684,3.74E-22,1.23E-21
Stx1b,-2.912512244,2.97E-32,1.26E-31
Ptn,-0.962623363,2.71E-08,5.62E-08
Adrb1,-2.962394018,1.53E-51,9.87E-51
Ptger3,-4.195205048,1.72E-241,9.86E-240
Klra22,2.066232335,4.63E-11,1.08E-10
Klrk1,1.186156741,4.99E-15,1.34E-14
Atp7a,-0.590879518,4.49E-18,1.33E-17
Chm,-0.359582207,9.78E-11,2.24E-10
Plp1,1.707432813,4.35E-15,1.17E-14
Lamp2,-1.01127716,7.30E-54,4.91E-53
Fmr1,-1.586351317,1.18E-60,9.06E-60
Syn1,1.766612193,1.24E-17,3.61E-17
Srd5a1,0.631507102,0.005278094,0.007870716
Gcgr,0.911808151,8.06E-06,1.48E-05
Insr,-1.678629655,1.65E-104,2.47E-103
Pgam2,3.825483155,1.20E-16,3.39E-16
Cth,-0.999797596,0.000662017,0.001065624
Psmb9,0.508233359,1.57E-09,3.43E-09
Psmb8,0.691696985,1.46E-20,4.60E-20
RT1-A1,0.154075411,0.025858155,0.036040123
RT1-A2,0.357504711,1.60E-05,2.87E-05
RT1-Db2,3.799985612,7.26E-28,2.78E-27
RT1-DOa,0.848678661,1.41E-09,3.09E-09
RT1-Ha,0.499169652,0.027876755,0.038693155
RT1-M2,3.342126794,2.48E-53,1.65E-52
RT1-S2,-3.89422003,3.51E-34,1.57E-33
Tacr2,-4.43880399,1.69E-06,3.21E-06
Lta,-1.119461172,0.000340949,0.000560057
Vars1,0.722932334,3.95E-42,2.10E-41
Cyp2c12,3.15006288,0.001655452,0.002582383
Acat1,-1.565096205,1.69E-67,1.46E-66
Myo5a,0.462215303,4.87E-06,9.04E-06
Itgam,2.039110056,1.11E-25,4.02E-25
Fgfr2,-2.051812397,1.34E-84,1.50E-83
Prkcb,2.384614414,6.12E-87,7.08E-86
Gipr,-4.676456598,1.79E-82,1.95E-81
Adm,-3.023818425,3.74E-60,2.84E-59
Slc16a1,1.612660816,8.37E-61,6.44E-60
Ampd1,3.289302177,1.21E-08,2.56E-08
Calcrl,-0.993796652,1.84E-26,6.80E-26
Plcb4,-1.745065504,3.15E-110,5.04E-109
Sstr1,-1.701812523,0.000476503,0.000774469
Cyb5r3,-2.035919546,2.30E-90,2.78E-89
Mobp,2.138534162,0.01474015,0.021075472
P2rx6,-1.576870496,0.00088033,0.00140367
Oaz1-ps,-1.93118809,0.010198676,0.014790805
Eln,-4.059194315,2.70E-60,2.06E-59
Sds,-1.072713153,4.74E-05,8.27E-05
Dbi,-1.982403239,1.59E-88,1.87E-87
Fcer1a,2.406234537,2.54E-14,6.67E-14
Klkb1,-0.988211429,1.09E-09,2.40E-09
Atxn1,-1.607422273,6.65E-48,4.00E-47
Ntrk2,-4.904073784,7.36E-78,7.55E-77
Lipa,-0.382070823,1.18E-05,2.13E-05
Rbp1,-2.033657166,1.09E-15,3.00E-15
Hk1,1.370648379,3.27E-60,2.49E-59
Hk2,-1.349847662,1.24E-18,3.72E-18
Hk3,3.981554543,8.30E-57,5.90E-56
Crabp1,0.912739219,0.039272729,0.053575782
Gpd2,1.195625403,3.92E-23,1.33E-22
Slc12a1,3.474166517,3.83E-30,1.55E-29
Pvr,-2.448342688,4.25E-63,3.42E-62
Tnfrsf8,1.197777791,5.46E-08,1.12E-07
Scarb1,-2.139144379,9.10E-124,1.72E-122
Htr1b,-3.354673549,6.61E-63,5.29E-62
Adra2a,-1.721849287,5.03E-20,1.57E-19
Il4r,-1.753882212,1.62E-59,1.21E-58
Cyp2e1,-1.273850329,0.018974892,0.026830761
Kng2l1,1.86409306,0.000896695,0.001428685
Mitf,-1.50995672,2.25E-38,1.10E-37
Ampd3,2.036532696,6.41E-192,2.43E-190
Pld1,-0.994884807,3.25E-28,1.25E-27
Pld2,-1.86058947,7.23E-118,1.27E-116
Foxa1,-1.344400924,0.000712967,0.001144647
Chrna5,-2.38355658,0.003069989,0.004678922
Chrnb4,-2.745323495,1.17E-09,2.58E-09
Pc,-3.581519198,2.87E-260,1.88E-258
Rgn,-2.043125329,1.21E-13,3.11E-13
Avpr1a,-2.054521664,4.18E-17,1.20E-16
Cd1d1,-1.396889729,1.88E-43,1.03E-42
Gadd45a,1.619983218,2.12E-45,1.21E-44
Ddn,4.276185087,2.25E-24,7.84E-24
Fgfr4,-0.877172535,0.03182462,0.0438948
Hsd11b1,-1.179964785,3.39E-10,7.62E-10
Hsd11b2,-4.960460329,3.50E-60,2.66E-59
Itga1,-2.003364403,2.70E-101,3.85E-100
Mr1,-1.602232013,6.07E-36,2.82E-35
Scnn1a,-0.364564333,0.018650769,0.026392632
Tagln,-4.634571569,3.60E-44,2.01E-43
Stat1,-0.618296032,3.61E-22,1.19E-21
Stat3,-0.508253902,4.04E-25,1.44E-24
Stat5b,0.367787127,3.94E-16,1.10E-15
Stx2,0.816005055,9.84E-30,3.93E-29
Myo5b,-2.315057908,7.42E-16,2.05E-15
Pcdhb12,-2.542795728,7.44E-44,4.12E-43
Ncl,0.599602981,2.88E-41,1.50E-40
Gfra2,-1.050846538,9.17E-16,2.53E-15
Slc2a4,-0.874929326,0.00010511,0.000179009
Cd24,2.949704635,1.13E-14,3.00E-14
Cyp19a1,2.365656742,1.51E-05,2.73E-05
Fyn,-0.153691134,0.011461523,0.016541182
Igf2r,-1.438226146,2.23E-41,1.16E-40
Map1a,-1.761789066,7.50E-11,1.73E-10
Mas1,-3.431546074,3.13E-42,1.67E-41
Pgr,-2.671828446,5.65E-08,1.15E-07
Syk,2.722214924,1.72E-99,2.39E-98
Vav1,2.691358943,1.30E-109,2.08E-108
Plagl1,-4.555220857,4.22E-246,2.47E-244
Gata2,1.05900043,3.80E-22,1.25E-21
Sp4,2.498830942,5.51E-227,2.82E-225
Cdkn2b,-1.095032758,2.74E-09,5.93E-09
Zfp386,-1.253753518,4.21E-25,1.50E-24
Ptpra,-0.55321913,7.32E-31,3.01E-30
Gata1,10.26870428,0,0
Slc25a5,-0.40919137,3.83E-14,9.99E-14
Fhl1,-1.228024845,8.88E-05,0.000152079
Idh3g,-0.815376486,2.45E-31,1.02E-30
Bgn,-1.652091336,9.46E-33,4.08E-32
Gdi1,-0.276130853,1.17E-05,2.12E-05
Efnb1,-3.19280842,8.48E-290,6.67E-288
Klrb1b,2.982843234,1.29E-21,4.18E-21
Ccnd3,2.594532002,0,0
Gnrh1,-0.38558598,0.040074519,0.054581491
Inhbb,-5.785969132,9.69E-217,4.52E-215
Ccnb1,5.985474758,0,0
Pcsk1,2.015997229,1.08E-14,2.88E-14
Il6st,-2.588261687,3.78E-155,9.96E-154
Gucy1b2,1.441410787,3.82E-05,6.70E-05
Lyz2,3.805268738,7.26E-89,8.60E-88
Sdc1,-0.854086776,8.15E-08,1.65E-07
Tapbp,0.420669586,2.14E-13,5.44E-13
Vps52,-0.331949557,1.03E-11,2.46E-11
Uba1y,4.911401514,9.68E-14,2.49E-13
Arsb,-0.433917682,4.84E-09,1.03E-08
Tyro3,-0.320430599,0.000728538,0.001168821
Akt2,-0.302240089,0.000156297,0.00026296
Ghr,-4.064308814,1.67E-116,2.90E-115
Gpc3,-6.890659844,2.45E-33,1.07E-32
Acvrl1,-2.484093549,4.83E-104,7.17E-103
Grk2,1.272412926,7.98E-69,7.03E-68
Apod,2.128133296,2.12E-07,4.22E-07
Aqp1,1.797917044,8.54E-55,5.84E-54
Arnt,-0.267985555,2.87E-09,6.21E-09
Bckdha,-1.882492819,7.66E-78,7.85E-77
Bdkrb2,-4.108721482,2.17E-42,1.16E-41
Bsg,-1.122328534,8.65E-36,3.99E-35
Cnr1,-2.032797078,1.91E-14,5.03E-14
Coq7,0.603620088,2.48E-25,8.90E-25
Cox8b,4.456042976,8.10E-07,1.56E-06
Dpp4,-0.384989763,0.042486628,0.057699431
Dyrk1a,0.884335896,2.75E-115,4.69E-114
Fmo1,-1.051897582,9.30E-14,2.40E-13
Gp5,8.212134917,0,0
Gstt1,-2.988529979,4.58E-80,4.82E-79
Id1,-1.542331784,7.15E-49,4.39E-48
Itpr1,-1.711881326,2.17E-126,4.24E-125
Nmbr,-1.235197787,0.000362243,0.000593948
P2ry1,3.065008533,2.63E-86,3.02E-85
Pdgfa,-1.798415585,6.99E-25,2.47E-24
Pdgfra,-2.578681639,4.07E-67,3.48E-66
Pvalb,5.678619024,1.35E-10,3.09E-10
Abcd3,-0.590824447,3.21E-19,9.80E-19
Rxra,-1.174971252,1.55E-44,8.73E-44
Smo,-2.620402296,2.95E-82,3.21E-81
Tst,-0.71426764,4.81E-08,9.86E-08
Cnp,0.427105071,1.72E-07,3.43E-07
Mfge8,-1.959199999,3.99E-74,3.85E-73
Cox6a2,5.435648538,6.13E-19,1.86E-18
St8sia1,0.703342594,0.001211271,0.001908615
Nup153,0.968497365,4.53E-63,3.64E-62
Gclc,2.161079428,3.92E-144,9.25E-143
Amacr,-0.510651197,7.62E-06,1.40E-05
Igfbp5,-2.564580057,5.33E-56,3.75E-55
Acadl,-0.984158275,6.82E-31,2.81E-30
Acsl1,-3.546619827,3.22E-267,2.22E-265
Adcy6,-1.672012329,5.03E-100,7.07E-99
Alox5,1.322138488,1.31E-15,3.58E-15
Anxa3,0.44050838,1.74E-06,3.30E-06
Aqp4,1.928864742,0.039682252,0.054082081
Bglap,5.210799184,3.15E-127,6.20E-126
Bmp4,-1.690527216,4.50E-35,2.05E-34
Cacnb3,-1.819093635,4.63E-17,1.33E-16
Cebpg,-0.850371772,2.19E-47,1.31E-46
Comp,1.148156562,4.81E-05,8.38E-05
Cort,2.888978391,1.12E-20,3.53E-20
Cpd,-1.745500041,6.93E-38,3.36E-37
Cst3,-1.299680605,4.88E-36,2.27E-35
Dcc,-1.640753904,0.000312013,0.000513781
Dmp1,2.543682163,2.90E-22,9.59E-22
Egf,-0.606586149,0.000322587,0.000530838
Emp1,-1.788393263,1.03E-34,4.66E-34
Ephx1,-2.617157694,2.29E-92,2.87E-91
Ms4a2,4.285691514,2.00E-77,2.03E-76
Fgf1,-5.409676278,5.73E-124,1.09E-122
Fnta,-1.035850009,3.84E-89,4.57E-88
Ghrhr,5.335701495,1.77E-268,1.22E-266
Htr1d,-3.194377798,7.54E-15,2.02E-14
Htr4,-5.282209767,3.91E-29,1.54E-28
Il10,-1.224659843,5.68E-05,9.86E-05
Jak3,0.485580552,2.97E-12,7.22E-12
Kcnc1,3.847136334,1.09E-06,2.10E-06
Lamp1,-1.360201865,5.78E-91,7.05E-90
Lipe,-4.375745241,2.09E-205,8.98E-204
Mgmt,-0.789602205,1.98E-23,6.76E-23
Mgp,-2.40284918,1.33E-27,5.06E-27
Bhlha15,3.824625698,9.74E-71,8.90E-70
Mmp7,-1.582097524,0.007607041,0.011166909
Nfyb,1.336343365,1.27E-215,5.89E-214
Nfyc,0.763483698,8.67E-104,1.28E-102
Npr3,-6.527673142,4.09E-192,1.56E-190
Tnfrsf11b,-4.515794194,5.57E-34,2.47E-33
Oxtr,-7.833986674,9.95E-272,6.99E-270
Pdc,-1.786719062,0.004537957,0.006815459
Phb,-0.505144037,4.14E-13,1.04E-12
Ros1,1.366722402,0.023119573,0.032391052
Rpl39,0.567713009,2.48E-26,9.12E-26
Rps29,1.306153646,1.38E-94,1.79E-93
Scn2b,-3.241319494,1.15E-30,4.70E-30
